id,workitem_type,estimate,words,rel,sprint,assigned_to,new,doing,done,actual_work
797499,Story,80.0,"ancillary,optimization,price",,,navarrj,2014-10-11 04:38:57.880,2014-10-11 04:38:58.517,2014-10-11 04:39:11.530,0
797559,Bug,,"allows,comparison,currencies,different,engine,price,pricing",,,navarrj,2014-10-11 04:42:56.663,2014-10-11 04:42:57.200,2014-10-11 04:42:58.273,0
797564,Bug,,"pollingintervalseconds,tokenized",,,navarrj,2014-10-11 04:43:14.343,2014-10-11 04:43:14.937,2014-10-11 04:43:15.983,0
797575,Bug,,"createdutc,import,included,json,optimization,tool",,,navarrj,2014-10-11 04:43:48.687,2014-10-11 04:43:52.327,2014-10-11 04:43:52.957,0
797576,Bug,,"analytics,exporting,fields,importer,null",,,navarrj,2014-10-11 04:43:54.870,2014-10-11 04:43:57.573,2014-10-11 04:43:58.137,0
797581,Bug,,"analytics,ancillaryconfigurations,input,parameters,requesting,required,returned",,,navarrj,2014-10-11 04:44:04.093,2014-10-11 04:44:06.510,2014-10-11 04:44:09.480,0
797582,Bug,,"analytics,missing,orefcc,row,setting",,,navarrj,2014-10-11 04:44:11.963,2014-10-11 04:44:12.940,2014-10-11 04:44:14.110,0
797583,Story,,"analytic,fee,optimization,pricing,seat",,,vitalim,2014-10-11 04:44:19.257,2014-10-11 04:44:22.127,2014-10-11 04:44:22.750,0
797587,Bug,,"compute,incorrect,maximumdiscountpercentage,maximumsurchargepercentage,used,values,were",,,navarrj,2014-10-11 04:44:35.107,2014-10-11 04:44:35.723,2014-10-11 04:44:36.353,0
797591,Bug,,"analytics,compute,incorrect,maximumdiscountpercentage,maximumsurchargepercentage,used,values,were",,,navarrj,2014-10-11 04:44:44.590,2014-10-11 04:44:45.167,2014-10-11 04:44:46.280,0
797592,Bug,,"analytics,channelid,correct,data,type",,,beckrob,2014-10-11 04:44:53.943,2014-10-11 04:44:55.107,2014-10-11 04:44:55.670,0
797594,Bug,,"build,items,managementconsole,move,naml,rules",,,vitalim,2014-10-11 04:45:02.667,2014-10-11 04:45:07.133,2014-10-11 04:45:08.003,0
797595,Bug,,"build,downgraded,failed,net,tests,unit",,,vitalim,2014-10-11 04:45:10.337,2014-10-11 04:45:11.923,2014-10-11 04:45:12.937,0
797602,Bug,,"database,import,match,rules,string",,,navarrj,2014-10-11 04:45:38.340,2014-10-11 04:45:39.833,2014-10-11 04:45:45.040,0
797606,Bug,,"inputparameters,required,serialized",,,navarrj,2014-10-11 04:45:58.983,2014-10-11 04:45:59.613,2014-10-11 04:46:00.843,0
797609,Bug,,"analytics,database,need,populate,setting,table",,,beckrob,2014-10-11 04:46:13.560,2014-10-11 04:46:14.743,2014-10-11 04:46:15.330,0
797611,Issue,,"analytics,componentmanager,encountered,get,iancillaryoptimizationservice,optimization,pricing,service,unable",,,navarrj,2014-10-11 04:46:23.510,2014-10-11 04:46:23.853,2014-10-11 04:46:24.200,0
797613,Bug,,"ancillaryoptimizationrequest,ancillaryoptimizationrulecriteria,mapped,properly,properties",,,navarrj,2014-10-11 04:46:26.507,2014-10-11 04:46:28.387,2014-10-11 04:46:30.267,0
797624,Issue,,"based,experiment,fee,pricing,segment,set",,,diazkri,2014-10-11 04:47:15.913,2014-10-11 04:47:18.253,2014-10-11 04:47:18.643,0
797625,Issue,,"begintraveldate,endtraveldate,same,travelrangedays,value,what",,,diazkri,2014-10-11 04:47:19.767,2014-10-11 04:47:20.780,2014-10-11 04:47:21.103,0
797626,Bug,,"analytics,encountered,error,samplingrandomnumber,set,test,tool",,,beckrob,2014-10-11 04:47:22.387,2014-10-11 04:47:24.177,2014-10-11 04:47:25.267,0
797636,Bug,,"enterprise,files,library,missing",,,navarrj,2014-10-11 04:48:03.433,2014-10-11 04:48:04.017,2014-10-11 04:48:04.660,0
797642,Bug,,"database,error,import,messages,shown,tool",,,navarrj,2014-10-11 04:48:22.633,2014-10-11 04:48:23.287,2014-10-11 04:48:25.597,0
797643,Bug,,"database,dll,inconsistent,nds,versions",,,beckrob,2014-10-11 04:48:26.673,2014-10-11 04:48:31.620,2014-10-11 04:48:32.273,0
799056,Story,66.0,"analytic,logging,treatment",,,vitalim,2014-10-13 22:56:09.130,2014-11-17 06:34:24.533,2014-11-26 06:39:50.240,9
817494,Bug,,"build,error,server",,,navarrj,2014-11-17 01:37:48.367,2014-11-17 01:38:08.260,2014-11-17 01:42:41.237,0
817499,Bug,,"refactor,suggestions",,,navarrj,2014-11-17 02:16:46.527,2014-11-17 02:16:54.347,2014-11-17 09:45:24.323,0
819151,Bug,,"default,logging,treatment,values",,,navarrj,2014-11-19 07:41:35.487,2014-11-19 07:41:41.997,2014-11-24 07:44:26.163,5
820565,Bug,,"cache,check,logger,setting,treatment",,,vitalim,2014-11-21 07:48:09.477,2014-11-21 07:48:19.043,2014-11-24 06:35:03.113,2
821322,Bug,,"analytics,log,stage,treatment",,,navarrj,2014-11-24 02:57:11.430,2014-11-24 06:35:55.913,2014-11-24 06:38:40.437,0
821392,Bug,,"analytics,asynclogstore,database,epic,fails,log,transaction",,,navarrj,2014-11-24 06:42:15.797,2014-11-24 06:42:22.580,2014-11-24 06:44:29.980,0
826643,Story,47.0,"analytics,automation,factory",,06,vitalim,2014-12-01 20:51:01.833,2015-03-20 21:04:55.173,2015-04-01 07:57:07.490,11
826650,Story,118.0,"analytics,factory",,06,vitalim,2014-12-01 20:58:03.313,2015-02-25 15:21:41.380,2015-03-20 20:59:37.693,23
831062,Story,66.0,"analytics,decision,engine,processing,rules,tree",,01,olsonju,2014-12-09 22:09:09.940,2014-12-15 16:49:59.340,2015-01-21 15:14:34.063,36
831072,Story,55.0,"analytics,cleanup",,06,navarrj,2014-12-09 22:33:50.257,2015-02-24 01:21:09.210,2015-03-20 21:01:16.467,24
846477,Bug,,"index,one,range,rule,ruleset",,01,navarrj,2015-01-12 03:39:21.880,2015-01-13 11:04:11.443,2015-01-13 11:04:25.323,0
847759,Bug,,"build,errors,files,fix,folder,missing,mmtemplate,xml",,01,navarrj,2015-01-13 09:06:35.230,2015-01-13 09:07:07.200,2015-01-14 10:45:05.377,1
851549,Story,16.0,"dynamic,input,mapping,parameter",,06,olsonju,2015-01-22 05:11:53.360,2015-03-20 21:05:08.340,2015-03-30 19:46:37.533,9
855932,Story,60.0,"connectors,data,pluggable,support",,15,delossj,2015-01-28 22:38:12.903,2015-07-14 02:58:32.660,2015-07-23 10:05:15.403,9
860430,Story,15.0,"decision,prevent,rule,rules,tree,types,viewing",,04,vitalim,2015-02-04 07:00:33.127,2015-02-25 03:37:54.033,2015-03-03 10:10:48.690,6
870425,Story,32.0,"arbitrary,mapping,price",,14,vitalim,2015-02-18 20:20:23.987,2015-07-20 09:31:40.947,2015-07-20 09:31:53.143,0
870426,Story,84.0,cleanup,,13,vitalim,2015-02-18 20:21:17.197,2015-06-01 21:00:49.570,2015-07-14 01:13:22.640,42
873570,Bug,,"decision,fails,import,large,trees,very",,06,olsonju,2015-02-24 19:28:56.887,2015-03-30 21:05:11.187,2015-03-30 21:05:33.400,0
890619,Story,40.0,"automate,price,request,testing",,13,delossj,2015-03-19 23:53:17.330,2015-07-13 02:56:50.640,2015-07-13 02:57:02.467,0
891430,Bug,,"calculatedfrom,computation,correct",,06,navarrj,2015-03-23 01:59:01.580,2015-03-23 02:39:46.533,2015-03-23 11:29:29.363,0
